College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[California Institute of Technology](https://studentaffairs.caltech.edu/policies/vaccination-policy)@@California Institute of Technology,30-Apr-21,Private,CA,✓,--,✓,--,--,D
[California Jazz Conservatory](https://cjc.edu/about-the-cjc-2/health-and-safety-guidelines/)@@California Jazz Conservatory,--,Private,CA,--,--,--,✓,--,D
[California Lutheran University](https://www.callutheran.edu/know/updates/?id=14346)@@California Lutheran University,17-May-21,Private,CA,✓,--,✓,--,✓,D
[California Polytechnic State University at San Luis Obispo](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California Polytechnic State University at San Luis Obispo,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[California State Polytechnic University at Pomona](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State Polytechnic University at Pomona,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Bakersfield](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Bakersfield,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Chico](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Chico,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Fresno](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fresno,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Fullerton](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Fullerton,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Long Beach](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Long Beach,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Los Angeles](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Los Angeles,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Northridge](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Northridge,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at Sacramento](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at Sacramento,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at San Bernardino](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Bernardino,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University at San Marcos](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University at San Marcos,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University Maritime Academy](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University Maritime Academy,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University-Channel Islands](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Channel Islands,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University-Dominguez Hills](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Dominguez Hills,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University-East Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-East Bay,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University-Monterey Bay](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Monterey Bay,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[California State University-Stanislaus](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@California State University-Stanislaus,22-Apr-21,Public,CA,✓,--,✓,--,✓,D
[Cambridge College in Massachusetts](https://www.cambridgecollege.edu/sites/default/files/file_uploads/cc_student_safe_return_fall_2021_faq.pdf)@@Cambridge College in Massachusetts,23-Jul-21,Private,MA,--,--,--,✓,--,D
[Canisius College](https://www.canisius.edu/sites/default/files/%2A/announcement_sept_27_canisius.pdf)@@Canisius College,27-Sep-21,Private,NY,✓,--,✓,--,--,D
[Cape Cod Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Cape Cod Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
