UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON18,DRUG18,LIQUOR18,WEAPON19,DRUG19,LIQUOR19,WEAPON20,DRUG20,LIQUOR20,FILTER18,FILTER19,FILTER20
222062001,Walters State Community College,Walters State Community College - Morristown,500 S. Davy Crockett Parkway,Morristown,TN,378136899,4,"Public, 2-year",2014,3728,5742,0,0,0,1,1,0,0,0,0,1,1,1
222062002,Walters State Community College,Walters State Niswonger Campus-Greeneville,500 S. Davy Crockett Pkwy,Morristown,TN,37813,4,"Public, 2-year",2014,3728,5742,0,0,0,0,0,0,0,0,0,1,1,1
222062003,Walters State Community College,"Walters State Sevierville, Sevier County Campus",500 S. Davy Crockett Pkwy,Morristown,TN,37813,4,"Public, 2-year",2014,3728,5742,0,0,0,0,0,0,0,0,0,1,1,1
222062004,Walters State Community College,"Walters State, Claiborne County Campus",500 S. Davy Crockett Pkwy,Morristown,TN,37813,4,"Public, 2-year",2014,3728,5742,0,0,0,0,0,0,0,0,0,1,1,1
222062005,Walters State Community College,"Walters State, White Pine",500 S. Davy Crockett Pkwy,Morristown,TN,37813,4,"Public, 2-year",2014,3728,5742,0,0,0,0,0,0,0,0,0,1,1,1
222105001,William R Moore College of Technology,William R Moore College of Technology,1200 Poplar Ave,Memphis,TN,381047240,5,"Private nonprofit, 2-year",358,20,378,0,0,0,0,0,0,0,0,0,1,1,1
222178001,Abilene Christian University,ACU-Abilene,1600 Campus Court,ABILENE,TX,79601,2,"Private nonprofit, 4-year or above",1878,3413,5291,0,3,13,0,5,14,0,3,5,1,1,1
222178003,Abilene Christian University,ACU-Dallas,"16633 Dallas Pkwy, Suite 600",Addison,TX,75001,2,"Private nonprofit, 4-year or above",1878,3413,5291,0,0,0,0,0,0,0,0,0,1,1,1
222178004,Abilene Christian University,ACU Oxford,9&10 Canterbury Road,Oxford,,OX26LU,2,"Private nonprofit, 4-year or above",1878,3413,5291,0,0,0,0,0,0,0,0,0,1,1,1
222178005,Abilene Christian University,ACU-Leipzig,52 Kathe-Kollowitz-Strasse,Leipzig,,04109,2,"Private nonprofit, 4-year or above",1878,3413,5291,0,0,0,0,0,0,0,0,0,1,1,1
222178006,Abilene Christian University,ACU-Montevideo,1137 Obligado,Montevideo,,11300,2,"Private nonprofit, 4-year or above",1878,3413,5291,0,0,0,0,0,0,0,0,0,1,1,1
222567001,Alvin Community College,Alvin Community College,3110 Mustang Road,Alvin,TX,77511,4,"Public, 2-year",2322,3415,5737,0,0,0,0,0,0,0,0,0,1,1,1
222576001,Amarillo College,Washington Street Campus,2201 S. WASHINGTON,AMARILLO,TX,79178,4,"Public, 2-year",3077,6002,9079,0,1,0,1,2,0,0,0,0,1,1,1
222576002,Amarillo College,Amarillo College East Campus,1911 J avenue,Amarillo,TX,79111,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222576003,Amarillo College,Amarillo College West Campus,6222 sw 9th,Amarillo,TX,79106,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222576004,Amarillo College,Amarillo College Polk street Campus,1314 S. Polk,Amarillo,TX,79101,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222576005,Amarillo College,Amarillo College Community Link,2412 N. Grand,Amarillo,TX,79107,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222576006,Amarillo College,Moore County Campus,1220 E. 1st,Dumas,TX,79029,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222576007,Amarillo College,Amarillo College Hereford Campus,241 AVE H,Hereford,TX,79045,4,"Public, 2-year",3077,6002,9079,0,0,0,0,0,0,0,0,0,1,1,1
222628001,Amberton University,Main Campus,1700 Eastgate Dr,Garland,TX,750415595,2,"Private nonprofit, 4-year or above",329,774,1103,0,0,0,0,0,0,0,0,0,1,1,1
222822001,Angelina College,ANGELINA COLLEGE,3500 S. First St.,LUFKIN,TX,75904,4,"Public, 2-year",1440,2755,4195,0,1,0,0,0,0,0,0,0,1,1,1
222831001,Angelo State University,Main Campus,2601 W. Ave N,San Angelo,TX,76909,1,"Public, 4-year or above",4229,6546,10775,0,25,28,0,21,40,0,12,29,1,1,1
222877001,Arlington Baptist University,Main Campus,3001 W DIVISION ST,ARLINGTON,TX,760123425,2,"Private nonprofit, 4-year or above",99,61,160,0,0,0,0,0,0,0,0,0,1,1,1
222886001,Arlington Career Institute,Main Campus,901 AVE K,GRAND PRAIRIE,TX,75050,6,"Private for-profit, 2-year",28,316,344,0,0,0,0,0,0,0,0,0,1,1,1
222938001,The Art Institute of Houston,The Art Institute of Houston,4140 Southwest Freeway,HOUSTON,TX,770279625,3,"Private for-profit, 4-year or above",229,282,511,0,1,0,0,0,0,0,0,0,1,1,1
222983001,Austin College,Main Campus,900 N GRAND AVE,SHERMAN,TX,750904400,2,"Private nonprofit, 4-year or above",611,691,1302,0,5,0,0,10,0,0,1,0,1,1,1
222992001,Austin Community College District,Highland Business Center,5930 Middle Fiskville Road,Austin,TX,78752,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
222992002,Austin Community College District,Cypress Creek,1555 Cypress Creek Road,Cedar Park,TX,78613,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,1,0,0,0,0,1,1,1
222992003,Austin Community College District,Northridge Campus,11928 Stonehollow Drive,Austin,TX,78758,1,"Public, 4-year or above",16118,23778,39896,0,1,0,0,2,0,0,0,0,1,1,1
222992006,Austin Community College District,Rio Grande Campus,1212 Rio Grande Street,Austin,TX,78701,1,"Public, 4-year or above",16118,23778,39896,0,1,0,0,2,0,0,0,0,1,1,1
222992007,Austin Community College District,Riverside Campus,1020 Grove Blvd.,Austin,TX,78741,1,"Public, 4-year or above",16118,23778,39896,0,3,0,1,3,0,0,0,0,1,1,1
222992009,Austin Community College District,Eastview Campus,3401 Weberville Road,Austin,TX,78702,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,1,0,0,0,0,1,1,1
222992013,Austin Community College District,South Austin Campus,1820 West Stassney Lane,Austin,TX,78745,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,1,0,0,0,0,1,1,1
222992014,Austin Community College District,Round Rock Campus,4400 College Park Drive,Round Rock,TX,78665,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
222992026,Austin Community College District,Fire Training Academy,4800F Shaw Ln,Austin,TX,78744,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
222992027,Austin Community College District,Clinical Education Center,1400 N. IH 35,Austin,TX,78701,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
222992029,Austin Community College District,Elgin Campus,1501 West US Hwy 290,Elgin,TX,78621,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
222992030,Austin Community College District,Hays Campus,1200 Kohlers Crossing,Kyle,TX,78640,1,"Public, 4-year or above",16118,23778,39896,0,0,0,0,0,0,0,0,0,1,1,1
