Representative,Party,State,State abbreviation,Vote
Doggett,Democratic,Texas,TX,Yea
Donalds,Republican,Florida,FL,Nay
"Doyle, Michael F.",Democratic,Pennsylvania,PA,Yea
Duncan,Republican,South Carolina,SC,Nay
Dunn,Republican,Florida,FL,Nay
Ellzey,Republican,Texas,TX,Nay
Emmer,Republican,Minnesota,MN,Nay
Escobar,Democratic,Texas,TX,Yea
Eshoo,Democratic,California,CA,Yea
Espaillat,Democratic,New York,NY,Yea
Estes,Republican,Kansas,KS,Nay
Evans,Democratic,Pennsylvania,PA,Yea
Fallon,Republican,Texas,TX,Nay
Feenstra,Republican,Iowa,IA,Nay
Ferguson,Republican,Georgia,GA,Nay
Fischbach,Republican,Minnesota,MN,Nay
Fitzgerald,Republican,Wisconsin,WI,Nay
Fitzpatrick,Republican,Pennsylvania,PA,Yea
Fleischmann,Republican,Tennessee,TN,Nay
Fletcher,Democratic,Texas,TX,Yea
Flood,Republican,Nebraska,NE,Nay
Flores,Republican,Texas,TX,Nay
Foster,Democratic,Illinois,IL,Yea
Foxx,Republican,North Carolina,NC,Nay
"Frankel, Lois",Democratic,Florida,FL,Yea
"Franklin, C. Scott",Republican,Florida,FL,Nay
Fulcher,Republican,Idaho,ID,Nay
Gaetz,Republican,Florida,FL,Nay
Gallagher,Republican,Wisconsin,WI,Nay
Gallego,Democratic,Arizona,AZ,Yea
Garamendi,Democratic,California,CA,Yea
Garbarino,Republican,New York,NY,Nay
Garcia (CA),Republican,California,CA,Nay
Garcia (IL),Democratic,Illinois,IL,Yea
Garcia (TX),Democratic,Texas,TX,Yea
Gibbs,Republican,Ohio,OH,Present
Gimenez,Republican,Florida,FL,Nay
Gohmert,Republican,Texas,TX,Nay
Golden,Democratic,Maine,ME,Yea
Gomez,Democratic,California,CA,Yea
"Gonzales, Tony",Republican,Texas,TX,Nay
Gonzalez (OH),Republican,Ohio,OH,Yea
"Gonzalez, Vicente",Democratic,Texas,TX,Yea
Good (VA),Republican,Virginia,VA,Nay
Gooden (TX),Republican,Texas,TX,Nay
Gosar,Republican,Arizona,AZ,Nay
Gottheimer,Democratic,New Jersey,NJ,Yea
Granger,Republican,Texas,TX,Nay
Graves (LA),Republican,Louisiana,LA,Nay
Graves (MO),Republican,Missouri,MO,Nay
Green (TN),Republican,Tennessee,TN,Nay
"Green, Al (TX)",Democratic,Texas,TX,Yea
Greene (GA),Republican,Georgia,GA,Nay
Griffith,Republican,Virginia,VA,Nay
Grijalva,Democratic,Arizona,AZ,Yea
Grothman,Republican,Wisconsin,WI,Nay
Guest,Republican,Mississippi,MS,Nay
Guthrie,Republican,Kentucky,KY,Nay
Harder (CA),Democratic,California,CA,Yea
Harris,Republican,Maryland,MD,Nay
Harshbarger,Republican,Tennessee,TN,Nay
Hartzler,Republican,Missouri,MO,Nay
Hayes,Democratic,Connecticut,CT,Yea
Hern,Republican,Oklahoma,OK,Nay
Herrell,Republican,New Mexico,NM,Nay
Herrera Beutler,Republican,Washington,WA,Nay
Hice (GA),Republican,Georgia,GA,Nay
Higgins (LA),Republican,Louisiana,LA,Nay
Higgins (NY),Democratic,New York,NY,Yea
Hill,Republican,Arkansas,AR,Nay
Himes,Democratic,Connecticut,CT,Yea
Hinson,Republican,Iowa,IA,Nay
Hollingsworth,Republican,Indiana,IN,Nay
Horsford,Democratic,Nevada,NV,Yea
Houlahan,Democratic,Pennsylvania,PA,Yea
Hoyer,Democratic,Maryland,MD,Yea
Hudson,Republican,North Carolina,NC,Nay
Huffman,Democratic,California,CA,Yea
Huizenga,Republican,Michigan,MI,Nay
Issa,Republican,California,CA,Nay
Jackson,Republican,Texas,TX,Nay
Jackson Lee,Democratic,Texas,TX,Yea
Jacobs (CA),Democratic,California,CA,Yea
Jacobs (NY),Republican,New York,NY,Nay
Jayapal,Democratic,Washington,WA,Yea
Jeffries,Democratic,New York,NY,Yea
Johnson (GA),Democratic,Georgia,GA,Yea
Johnson (LA),Republican,Louisiana,LA,Nay
Johnson (OH),Republican,Ohio,OH,Nay
